anio_acci,nro_acci,fecha,desc_dia,fecha_aprox,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion,forma_geocod,calle_lista,numero_calles,calles_osm,lat,lon,index_right,gid,fna,gna,nam,in1,fdc,sag
2012,85,2012-01-17,Martes,0.0,15:00:00,,0.0,1,Moto/Ciclomotor,MENDOZA Y FURLONG,1,1,0,0,0,0,0,,Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,S/D,Faltante,Ninguna,Sin restricción,POINT (-60.735218950000004 -32.940202049999996),"['Mendoza', 'Furlong']",2,Mendoza; Furlong,-32.94020205,-60.73521895,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2012,87,2012-01-06,Viernes,0.0,12:20:00,,0.0,1,Automóvil,NICARAGUA Y URQUIZA AL 7400,1,1,0,0,0,0,0,,Calle,,ROSARIO,Rosario,Asfalto,S/D,II,S/D,Urbana,Ninguna,S/D,Recta,Bueno,S/D,S/D,Buen Tiempo,De alcance,S/D,Colisión,S/D,Faltante,Ninguna,Sin restricción,POINT (-60.7210362 -32.933655),"['Nicaragua', 'Urquiza']",2,Nicaragua; Justo José de Urquiza,-32.933655,-60.7210362,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2012,88,2012-01-11,Miercoles,0.0,21:30:00,,0.0,1,Moto/Ciclomotor,tarragona y schwesttror,1,1,0,0,0,0,0,,Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,POINT (-60.735244300000005 -32.9137951),"['Tarragona', 'Albert Schweitzer']",2,Tarragona; Albert Schweitzer,-32.9137951,-60.735244300000005,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2012,89,2012-01-13,Viernes,0.0,10:20:00,,0.0,2,"Camión,Moto/Ciclomotor",MENDOZA 3900,2,1,0,0,1,0,0,,Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,S/D,Faltante,Ninguna,Sin restricción,"-32.9446635, -60.6775413",['Mendoza 3900'],1,Mendoza 3900,-32.9446635,-60.6775413,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2012,91,2012-01-05,Jueves,0.0,17:00:00,,0.0,1,Moto/Ciclomotor,BRASIL Y SANTA FE,1,1,0,0,0,0,0,,Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Recta,Deteriorada,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,S/D,Faltante,S/D,Sin restricción,POINT (-60.7197991 -32.9359046),"['Brasil', 'Santa Fe']",2,Brasil; Santa Fe,-32.9359046,-60.7197991,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2012,93,2012-01-05,Jueves,0.0,10:00:00,,0.0,2,"Automóvil,Moto/Ciclomotor",27 DE FEBRERO Y CULLEN,2,2,0,0,0,0,0,,Calle,,ROSARIO,Rosario,Asfalto,S/D,II,S/D,Urbana,S/D,S/D,Recta,Deteriorada,Buena,Diurna,Lluvia,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,POINT (-60.7083417 -32.95927025),"['27 de Febrero', 'Cullen']",2,Bulevar 27 de Febrero; Cullen,-32.95927025,-60.7083417,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2012,94,2012-01-07,Sabado,0.0,17:00:00,,0.0,2,"Peatón,Automóvil",BV. SEGUI Y AV. GODOY,2,2,0,0,0,0,0,,Calle,,ROSARIO,Rosario,Asfalto,S/D,II,Dentro,Urbana,S/D,S/D,Recta,Deteriorada,S/D,Diurna,Buen Tiempo,S/D,S/D,Atropello,S/D,S/D,S/D,S/D,POINT (-60.7187126 -32.97153005),"['Bulevar Juan Francisco Seguí', 'Avenida Presidente Perón']",2,Bulevar Juan Francisco Seguí; Avenida Presidente Perón,-32.97153005,-60.7187126,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2012,97,2012-01-09,Lunes,0.0,22:00:00,,0.0,1,Automóvil,PCIAS. UNIDAS Y GODOY,2,2,0,0,0,0,0,,Calle,,ROSARIO,Rosario,S/D,S/D,II,Dentro,Urbana,S/D,S/D,Recta,Deteriorada,S/D,S/D,Buen Tiempo,Frontal,S/D,Colisión,S/D,S/D,S/D,S/D,POINT (-60.711466349999995 -32.9679676),"['Avenida Provincias Unidas', 'Avenida Presidente Perón']",2,Avenida Provincias Unidas; Avenida Presidente Perón,-32.9679676,-60.71146635,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2012,100,2012-01-20,Viernes,0.0,00:00:00,,0.0,2,"Peatón,Moto/Ciclomotor",BIEDMA Y CASTELLANOS,2,0,0,0,1,0,1,,Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,S/D,No existe,Intersección,S/D,Buena,Nocturna,Buen Tiempo,S/D,S/D,Atropello,S/D,S/D,S/D,S/D,POINT (-60.6838704 -32.974782499999996),"['Coronel Biedma', 'Aaron Castellanos']",2,Coronel Biedma; Aaron Castellanos,-32.9747825,-60.6838704,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2012,101,2012-01-20,Viernes,0.0,00:00:00,,0.0,1,Moto/Ciclomotor,FRANCIA 4600,1,0,0,0,0,1,0,,Avenida,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,S/D,No existe,Otro,Bueno,Buena,Nocturna,Buen Tiempo,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.9349356, -60.6639852",['Francia 4600'],1,Francia 4600,-32.9349356,-60.6639852,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
